ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*
52119,potboiler,NN,3,"0,2,1",{(pot)}{(boil)}>er>,70,41,74693,80,6,11861,"59,83282006",2274,4569119,2,"3,55E-05","0,02502703538"
52120,potboilers,NN,3,"0,2,1",{(pot)}{(boil)}>er>,70,41,74693,80,6,11861,"59,83282006",2274,4569119,2,"3,55E-05","0,02502703538"
52128,potentiometer,NN,3,"0,2,1",{(pot)>ant>(iometer)},"37,5",41,74693,"57,45140389",464,1534593,"7,82E-06","0,001853854472",0,1,156,7
52205,praiseworthy,JJ,3,"0,2,1",{(praise)}{(worth)}>y>,"33,33333333",4,9311,"37,93103448",30,103812,"27,40442656",2486,3870233,1,"4,99E-05","0,02981615943"
52589,pokerfaced,JJ,3,"0,2,1",{(poke)}>er>{(face)},60,6,10122,"76,46282446",2274,4569119,"3,55E-05","0,02502703538","78,57142857",29,179045,4
52735,philanthropic,JJ,3,"0,2,1",{(philo)(anthropo)}>ic>,"44,82758621",30,53808,"41,17647059",18,5478,"56,16979269",1014,1472797,2,"2,78E-05","0,006334002781"
52737,philanthropist,NN,3,"0,2,1",{(philo)(anthropo)}>ist>,"34,48275862",30,53808,"29,41176471",18,5478,"55,96529284",462,382916,3,"6,27E-05","0,003707708945"
52738,philanthropy,NN,3,"0,2,1",{(philo)(anthropo)}>y>,"41,37931034",30,53808,"35,29411765",18,5478,"32,43460765",2486,3870233,1,"4,99E-05","0,02981615943"
52739,philharmonic,JJ|NN,3,"0,2,1",{(philo)(harmon)>ic>},"13,79310345",30,53808,"26,66666667",16,12033,"23,88943731",1014,1472797,2,"2,78E-05","0,006334002781"
52745,philologists,NN,3,"0,2,1",{(philo)(log)>ist>},"51,72413793",30,53808,"61,68224299",215,380513,"60,0867679",462,382916,3,"6,27E-05","0,003707708945"
52746,philosopher,NN,3,"0,2,1",{(philo)(soph)>er>},"10,34482759",30,53808,"21,42857143",15,39925,"7,875054993",2274,4569119,2,"3,55E-05","0,02502703538"
52747,philosophers,NN,3,"0,2,1",{(philo)(soph)>er>},"10,34482759",30,53808,"21,42857143",15,39925,"7,875054993",2274,4569119,2,"3,55E-05","0,02502703538"
52748,philosophic,JJ|NN,3,"0,2,1",{(philo)(soph)>ic>},"20,68965517",30,53808,50,15,39925,"36,42645607",1014,1472797,2,"2,78E-05","0,006334002781"
52751,philosophies,NN,3,"0,2,1",{(philo)(soph)>y>},0,30,53808,0,15,39925,"1,086519115",2486,3870233,1,"4,99E-05","0,02981615943"
