ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL
23267,horoscopes,NN,2,"0,2,0",{(hour)(scope)},60,6,130066,25,25,22421
23275,horsebox,NN,2,"0,2,0",{(horse)}{(box)},"91,17647059",35,39630,"92,30769231",27,219013
23276,horseboxes,NN,2,"0,2,0",{(horse)}{(box)},"91,17647059",35,39630,"92,30769231",27,219013
23278,horseflesh,NN,2,"0,2,0",{(horse)}{(flesh)},"67,64705882",35,39630,"71,42857143",8,11827
23279,horseflies,NN,2,"0,2,0",{(horse)}{(fly)},"52,94117647",35,39630,"53,84615385",27,76434
23280,horselaugh,NN,2,"0,2,0",{(horse)}{(laugh)},"85,29411765",35,39630,100,6,32261
23281,horselaughs,NN,2,"0,2,0",{(horse)}{(laugh)},"85,29411765",35,39630,100,6,32261
23283,horsemen,NN,2,"0,2,0",{(horse)}(men),"11,76470588",35,39630,"6,369426752",158,125014
23284,horseracing,VB|NN|JJ,2,"0,2,0",{(horse)}{(race)},"58,82352941",35,39630,"81,81818182",23,111227
23285,horseradishes,NN,2,"0,2,0",{(horse)}{(radish)},"26,47058824",35,39630,100,2,373
23286,horseshit,NN,2,"0,2,0",{(horse)}{(shit)},"17,64705882",35,39630,60,6,46507
23287,horseshoes,NN,2,"0,2,0",{(horse)}{(shoe)},"8,823529412",35,39630,"8,333333333",13,18923
23288,horsewhipped,VB|JJ,2,"0,2,0",{(horse)}{(whip)},"41,17647059",35,39630,"66,66666667",7,10471
23289,horsewhipping,VB|NN|JJ,2,"0,2,0",{(horse)}{(whip)},"41,17647059",35,39630,"66,66666667",7,10471
23290,horsewhips,VB|NN,2,"0,2,0",{(horse)}{(whip)},"41,17647059",35,39630,"66,66666667",7,10471
23291,horsewoman,NN,2,"0,2,0",{(horse)}(woman),"76,47058824",35,39630,"59,45945946",38,74275
23292,horsewomen,NN,2,"0,2,0",{(horse)}(women),"79,41176471",35,39630,"44,82758621",30,123504
23309,hosepipes,NN,2,"0,2,0",{(hose)}{(pipe)},100,2,5833,"78,57142857",15,27481
23320,HOSTARIA,NN,2,"0,2,0",{(host)}{(aria)},"66,66666667",4,49541,100,3,1517
23329,hotbeds,NN,2,"0,2,0",{(hot)}{(bed)},"30,76923077",14,56978,"24,24242424",34,56867
23335,HOTELMAN'S,encl,2,"0,2,0",{(hotel)}{(man)},100,3,25920,"90,95238095",211,300379
23336,hotfoot,VB,2,"0,2,0",{(hot)}{(foot)},"76,92307692",14,56978,"73,80952381",43,58389
23337,HOTHAM,NN|VB,2,"0,2,0",{(hot)}{(ham)},"84,61538462",14,56978,"78,57142857",15,17536
23339,hotheads,NN,2,"0,2,0",{(hot)}{(head)},"38,46153846",14,56978,"42,26804124",98,230581
23340,hothouses,NN,2,"0,2,0",{(hot)}{(house)},"46,15384615",14,56978,"32,22222222",91,155845
23342,hotplates,NN,2,"0,2,0",{(hot)}{(plate)},"69,23076923",14,56978,"63,63636364",12,17557
23343,hotpots,NN,2,"0,2,0",{(hot)}{(pot)},"92,30769231",14,56978,85,41,74693
23352,hourglasses,NN,2,"0,2,0",{(hour)}{(glass)},40,6,130066,"11,76470588",18,35363
23356,houseboys,NN,2,"0,2,0",{(house)}{(boy)},"36,66666667",91,155845,65,21,85827
23358,housecoats,NN,2,"0,2,0",{(house)}{(coat)},60,91,155845,"69,23076923",14,18536
23359,housedogs,NN|VB,2,"0,2,0",{(house)}{(dog)},"81,11111111",91,155845,"86,95652174",24,100925
23360,housefathers,NN,2,"0,2,0",{(house)}{(father)},"85,55555556",91,155845,90,11,57523
